Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Communication skills,Data Science,Troubleshooting skills,Graphics Designing,Role
7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Database Administrator
7,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Database Administrator
7,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Database Administrator
7,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Database Administrator
7,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Database Administrator
7,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Database Administrator
7,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Database Administrator
7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Database Administrator
7,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Database Administrator
7,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Database Administrator
7,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Database Administrator
7,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Database Administrator
7,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Database Administrator
7,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Database Administrator
7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Database Administrator
7,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Database Administrator
7,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Database Administrator
7,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Database Administrator
7,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Database Administrator
7,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Database Administrator
7,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Database Administrator
7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Database Administrator
7,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Database Administrator
7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Database Administrator
7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Database Administrator
7,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Database Administrator
7,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Database Administrator
7,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Database Administrator
7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Database Administrator
7,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Database Administrator
7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Database Administrator
7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Database Administrator
7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Database Administrator
7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Database Administrator
7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Database Administrator
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Database Administrator
7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Database Administrator
7,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Database Administrator
7,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Database Administrator
7,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Database Administrator
7,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Database Administrator
7,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Database Administrator
7,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Database Administrator
7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Database Administrator
7,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Database Administrator
7,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Database Administrator
7,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Database Administrator
7,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Database Administrator
7,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Database Administrator
7,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Database Administrator
7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Database Administrator
7,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Database Administrator
7,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Database Administrator
7,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Database Administrator
7,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Database Administrator
7,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Database Administrator
7,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Database Administrator
7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Database Administrator
7,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Database Administrator
